Home Team,Home Goalie,Home Score,Home Shots,Away Team,Away Goalie,Away Score,Away Shots,Overtime?,Winner
BUF,Ukko-Pekka Luukkonen,2.0,26,NJ,Jacob Markstrom,5.0,42,True,NJ
NJ,Jacob Markstrom,5.0,42,BUF,Ukko-Pekka Luukkonen,2.0,33,True,NJ
SEA,Joey Daccord,3,35,STL,Joel Hofer,1,29,True,SEA
FLA,Sergei Bobrovsky,2,32,BOS,Brandon Bussi,2,26,False,BOS
UT,Connor Ingram,2,20,CHI,Petr Mrazek,2,24,False,CHI
MTL,Sam Montembeault,3,24,TOR,Anthony Stolarz,4,41,True,TOR
PIT,Alex Nedelkovich,3,24,NYR,Igor Shesterkin,1,34,True,PIT
EDM,Calvin Pickard,3,34,WPG,Kaapo Kahkonen,0,23,True,EDM
VAN,Thatcher Demko,1,23,CGY,Dustin Wolf,5,17,True,CGY
VGK,Adin Hill,3,31,COL,Alexandar Georgiev,1,26,True,VGK
BOS,Brandon Bussi,1,29,MTL,Caiden Primeau,2,27,True,MTL
BUF,Devon Levi,4,29,LA,Darcy Kuemper,1,33,True,BUF
OTT,Linus Ullmark,2,28,FLA,Spencer Knight,1,30,True,OTT
DET,Ville Husso,6,20,PIT,Alex Nedelkovich,3,32,True,DET
NJ,Jacob Markstrom,1,28,TOR,Anthony Stolarz,3,34,True,TOR
NYI,Semyon Varlamov,1,24,UT,Karel Vejmelka,2,22,True,UT
NSH,Juuse Saros,1,23,DAL,Casey DeSmith,2,30,True,DAL
MIN,Filip Gustavsson,4,32,CBJ,Daniil Tarasov,3,24,True,MIN
SJ,Mackenzie Blackwood,6,30,STL,Jordan Binnington,1,28,True,SJ
CAR,Frederik Andersen,1,26,TB,Andrei Vasilevskiy,1,31,False,TB
WPG,Connor Hellebuyck,3,22,CHI,Petr Mrazek,2,17,True,WPG
VAN,Thatcher Demko,5,24,PHI,Samuel Ersson,3,20,True,VAN
VGK,Adin Hill,6,31,STL,Joel Hofer,3,30,True,VGK
BOS,Joonas Korpisalo,5,25,LA,David Rittich,2,20,True,BOS
