Name,Team,Goals,Assists,Points
Brad Marchand,BOS,33,38,71
David Pastrnak,BOS,43,43,86
Elias Lindholm,BOS,18,45,63
Charlie Coyle,BOS,21,32,53
Pavel Zacha,BOS,18,30,48
Trent Frederic,BOS,21,22,43
Morgan Geekie,BOS,19,27,46
John Beecher,BOS,17,13,30
Mark Kastelic,BOS,8,11,19
Patrick Brown,BOS,7,11,18
Justin Brazeau,BOS,7,10,17
Max Jones,BOS,5,16,21
Charlie McAvoy,BOS,13,29,42
Hampus Lindholm,BOS,2,24,26
Brandon Carlo,BOS,1,20,21
Nikita Zadorov,BOS,1,11,12
Andrew Peeke,BOS,0,16,16
Mason Lohrei,BOS,2,5,7
Parker Wotherspoon,BOS,1,2,3
Tage Thompson,BUF,40,34,74
Alex Tuch,BUF,26,44,70
JJ Peterka,BUF,26,36,62
Dylan Cozens,BUF,20,29,49
Jack Quinn,BUF,25,30,55
Jason Zucker,BUF,16,23,39
Jordan Greenway,BUF,6,14,20
Zach Benson,BUF,7,21,28
Ryan McLeod,BUF,14,27,41
Sam Lafferty,BUF,12,12,24
Nicolas Aube-Kubel,BUF,6,9,15
Beck Malenstyn,BUF,5,11,16
Peyton Krebs,BUF,1,0,1
Rasmus Dahlin,BUF,16,30,46
Owen Power,BUF,2,16,18
Bowen Byram,BUF,5,24,29
Henri Jokijarju,BUF,2,14,16
Connor Clifton,BUF,1,7,8
Mattias Samuelsson,BUF,1,4,5
Jacob Bryson,BUF,1,1,2
Dylan Larkin,DET,29,50,79
Lucas Raymond,DET,36,29,65
Alex DeBrincat,DET,25,45,70
Patrick Kane,DET,22,29,51
JT Compher,DET,24,26,50
Vladimir Tarasenko,DET,19,27,46
Andrew Copp,DET,6,12,18
Michael Rasmussen,DET,9,15,24
Jonatan Berggren,DET,16,18,34
Joe Veleno,DET,8,5,13
Christian Fischer,DET,2,16,18
Tyler Motte,DET,11,8,19
Austin Watson,DET,3,5,8
Moritz Seider,DET,12,31,43
Ben Chiarot,DET,4,13,17
Jeff Petry,DET,2,15,17
Simon Edvinsson,DET,3,11,14
Erik Gustafsson,DET,0,14,14
Olli Maatta,DET,2,16,18
Justin Holl,DET,0,1,1
Matthew Tkachuk,FLA,18,53,71
Aleksander Barkov,FLA,35,33,68
Sam Reinhart,FLA,48,36,84
Sam Bennett,FLA,19,35,54
Carter Verhaeghe,FLA,32,30,62
Evan Rodrigues,FLA,11,25,36
Eetu Luostarainen,FLA,11,20,31
Jonah Gadjovich,FLA,3,12,15
Anton Lundell,FLA,5,20,25
Jesper Boqvist,FLA,14,10,24
AJ Greer,FLA,8,6,14
Tomas Nosek,FLA,15,13,28
Aaron Ekblad,FLA,14,28,42
Gustav Forsling,FLA,10,35,45
Dimitry Kulikov,FLA,0,27,27
Niko Mikkola,FLA,1,13,14
Nate Schmidt,FLA,2,5,7
Adam Boqvist,FLA,2,8,10
Uvis Balinskis,FLA,2,2,4
Tobias Bjornfoot,FLA,2,2,4
John Ludvig,FLA,0,4,4
Nick Suzuki,MTL,24,51,75
Cole Caufield,MTL,23,34,57
