Simulation 1 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,CAR,52,26,4,108,290,251,12.06%,0.896
2,VAN,49,24,9,107,272,226,12.19%,0.908
3,NJ,49,25,8,106,343,285,12.89%,0.889
4,BUF,50,27,5,105,303,268,12.90%,0.899
5,UT,47,24,11,105,269,222,12.42%,0.919
6,BOS,48,26,8,104,256,215,11.78%,0.914
7,COL,46,29,7,99,303,267,12.67%,0.898
8,FLA,44,28,10,98,270,268,11.68%,0.895
9,WSH,46,33,3,95,287,268,12.08%,0.900
10,WPG,45,32,5,95,235,205,10.80%,0.917
11,PIT,44,32,6,94,283,275,12.35%,0.899
12,NSH,43,31,8,94,257,248,11.04%,0.905
13,LA,42,33,7,91,264,254,11.76%,0.889
14,EDM,42,34,6,90,273,284,10.89%,0.895
15,DET,42,35,5,89,225,235,10.87%,0.907
16,STL,41,36,5,87,247,252,11.79%,0.905
17,SEA,40,35,7,87,252,243,11.66%,0.904
18,TB,37,32,13,87,279,267,12.53%,0.906
19,MIN,42,38,2,86,210,234,10.12%,0.892
20,NYI,40,36,6,86,271,278,12.20%,0.892
21,VGK,39,36,7,85,267,274,11.82%,0.896
22,CHI,38,35,9,85,248,277,11.86%,0.899
23,TOR,38,36,8,84,265,268,11.87%,0.896
24,NYR,38,38,6,82,214,237,10.16%,0.905
25,CGY,37,37,8,82,274,279,12.07%,0.887
26,MTL,36,37,9,81,247,274,11.15%,0.898
27,DAL,36,38,8,80,260,264,10.90%,0.900
28,CBJ,36,40,6,78,265,320,12.30%,0.895
29,OTT,36,41,5,77,222,243,9.88%,0.905
30,SJ,33,39,10,76,254,284,13.35%,0.900
31,ANA,26,42,14,66,238,291,11.34%,0.897
32,PHI,30,51,1,61,228,315,10.30%,0.875

Simulation 2 Standings:
NHL:
Rank,Team,W,L,OTL,PTS,GF,GA,SH%,SV%
1,NJ,48,23,11,107,310,261,12.16%,0.900
2,WSH,49,25,8,106,272,237,11.37%,0.914
3,NSH,51,30,1,103,275,252,12.30%,0.906
4,WPG,48,27,7,103,288,244,12.75%,0.908
5,VAN,48,27,7,103,261,225,11.41%,0.907
6,COL,47,26,9,103,276,253,11.59%,0.900
7,FLA,48,28,6,102,277,253,11.66%,0.899
8,DET,47,27,8,102,275,268,12.80%,0.903
9,TOR,46,29,7,99,262,254,11.42%,0.895
10,EDM,45,29,8,98,290,246,11.14%,0.908
