Team,Stat,25th Percentile,50th Percentile (Median),75th Percentile,Average Points
New York Rangers,GF,261.0,271.0,281.0,
New York Rangers,GA,214.0,223.0,232.0,
New York Rangers,PTS,98.0,104.0,109.0,103.4876
New York Rangers,Regulation,No data,No data,No data,
New York Islanders,GF,240.0,250.0,259.0,
New York Islanders,GA,238.0,247.0,256.0,
New York Islanders,PTS,86.0,91.0,96.0,90.8539
New York Islanders,Regulation,No data,No data,No data,
Pittsburgh Penguins,GF,247.0,256.0,266.0,
Pittsburgh Penguins,GA,285.0,294.0,304.0,
Pittsburgh Penguins,PTS,73.0,78.0,83.0,78.03395
Pittsburgh Penguins,Regulation,No data,No data,No data,
Washington Capitals,GF,273.0,282.0,292.0,
Washington Capitals,GA,246.0,256.0,266.0,
Washington Capitals,PTS,91.0,96.0,101.0,95.92215
Washington Capitals,Regulation,No data,No data,No data,
Columbus Blue Jackets,GF,229.0,238.0,247.0,
Columbus Blue Jackets,GA,285.0,294.0,304.0,
Columbus Blue Jackets,PTS,64.0,69.0,74.0,68.8342
Columbus Blue Jackets,Regulation,No data,No data,No data,
Philadelphia Flyers,GF,242.0,252.0,261.0,
Philadelphia Flyers,GA,276.0,286.0,295.0,
Philadelphia Flyers,PTS,73.0,78.0,83.0,78.2452
Philadelphia Flyers,Regulation,No data,No data,No data,
Florida Panthers,GF,268.0,277.0,286.0,
Florida Panthers,GA,222.0,231.0,240.0,
Florida Panthers,PTS,102.0,107.0,112.0,106.9173
Florida Panthers,Regulation,No data,No data,No data,
Tampa Bay Lightning,GF,259.0,268.0,278.0,
Tampa Bay Lightning,GA,239.0,248.0,258.0,
Tampa Bay Lightning,PTS,89.0,94.0,99.0,93.96
Tampa Bay Lightning,Regulation,No data,No data,No data,
Boston Bruins,GF,242.0,251.0,260.0,
Boston Bruins,GA,235.0,244.0,253.0,
Boston Bruins,PTS,89.0,94.0,99.0,93.8714
Boston Bruins,Regulation,No data,No data,No data,
Toronto Maple Leafs,GF,263.0,273.0,282.0,
Toronto Maple Leafs,GA,231.0,240.0,249.0,
Toronto Maple Leafs,PTS,94.0,99.0,104.0,99.0402
Toronto Maple Leafs,Regulation,No data,No data,No data,
Ottawa Senators,GF,256.0,266.0,275.0,
Ottawa Senators,GA,240.0,249.0,259.0,
Ottawa Senators,PTS,86.0,92.0,97.0,91.62325
Ottawa Senators,Regulation,No data,No data,No data,
Detroit Red Wings,GF,228.0,237.0,246.0,
Detroit Red Wings,GA,250.0,260.0,269.0,
Detroit Red Wings,PTS,77.0,82.0,87.0,81.9591
Detroit Red Wings,Regulation,No data,No data,No data,
Buffalo Sabres,GF,250.0,259.0,268.0,
Buffalo Sabres,GA,258.0,267.0,276.0,
Buffalo Sabres,PTS,78.0,83.0,88.0,83.0494
Buffalo Sabres,Regulation,No data,No data,No data,
Montreal Canadiens,GF,233.0,242.0,251.0,
Montreal Canadiens,GA,296.0,305.0,315.0,
Montreal Canadiens,PTS,65.0,70.0,75.0,69.79985
Montreal Canadiens,Regulation,No data,No data,No data,
Winnipeg Jets,GF,271.0,280.0,289.0,
Winnipeg Jets,GA,211.0,220.0,229.0,
Winnipeg Jets,PTS,104.0,109.0,114.0,108.79675
Winnipeg Jets,Regulation,No data,No data,No data,
Dallas Stars,GF,265.0,274.0,284.0,
Dallas Stars,GA,226.0,235.0,244.0,
Dallas Stars,PTS,96.0,101.0,106.0,101.0157
Dallas Stars,Regulation,No data,No data,No data,
Minnesota Wild,GF,254.0,263.0,272.0,
Minnesota Wild,GA,225.0,234.0,243.0,
Minnesota Wild,PTS,95.0,101.0,106.0,100.4996
Minnesota Wild,Regulation,No data,No data,No data,
Utah Hockey Club,GF,244.0,253.0,262.0,
Utah Hockey Club,GA,257.0,266.0,275.0,
Utah Hockey Club,PTS,81.0,87.0,92.0,86.46825
Utah Hockey Club,Regulation,No data,No data,No data,
Nashville Predators,GF,243.0,253.0,262.0,
Nashville Predators,GA,246.0,255.0,265.0,
Nashville Predators,PTS,82.0,87.0,92.0,87.0899
Nashville Predators,Regulation,No data,No data,No data,
Colorado Avalanche,GF,258.0,268.0,277.0,
Colorado Avalanche,GA,258.0,267.0,277.0,
Colorado Avalanche,PTS,84.0,89.0,94.0,88.94115
Colorado Avalanche,Regulation,No data,No data,No data,
Chicago Blackhawks,GF,225.0,234.0,243.0,
Chicago Blackhawks,GA,263.0,273.0,282.0,
Chicago Blackhawks,PTS,69.0,74.0,80.0,74.3304
Chicago Blackhawks,Regulation,No data,No data,No data,
St. Louis Blues,GF,228.0,237.5,247.0,
St. Louis Blues,GA,259.0,268.0,278.0,
St. Louis Blues,PTS,76.0,81.0,86.0,81.1795
St. Louis Blues,Regulation,No data,No data,No data,
Vancouver Canucks,GF,256.0,266.0,275.0,
Vancouver Canucks,GA,233.0,242.0,251.0,
Vancouver Canucks,PTS,95.0,100.0,105.0,99.75765
Vancouver Canucks,Regulation,No data,No data,No data,
Vegas Golden Knights,GF,269.0,278.0,288.0,
Vegas Golden Knights,GA,253.0,262.0,272.0,
Vegas Golden Knights,PTS,88.0,93.0,98.0,92.78165
