date,away_team,home_team,visitor_goals,home_goals,visitor_sog,home_sog,visitor_goalie,home_goalie,regulation,winner
10/4/2024,nj,buf,,,,,,,,
10/5/2024,buf,nj,,,,,,,,
10/8/2024,stl,sea,,,,,,,,
10/8/2024,bos,fla,,,,,,,,
10/8/2024,chi,ari,,,,,,,,
10/9/2024,tor,mtl,,,,,,,,
10/9/2024,nyr,pit,,,,,,,,
10/9/2024,wpg,edm,,,,,,,,
10/9/2024,cgy,van,,,,,,,,
10/9/2024,col,vgk,,,,,,,,
10/10/2024,mtl,bos,,,,,,,,
10/10/2024,la,buf,,,,,,,,
10/10/2024,fla,ott,,,,,,,,
10/10/2024,pit,det,,,,,,,,
10/10/2024,tor,nj,,,,,,,,
10/10/2024,ari,nyi,,,,,,,,
10/10/2024,dal,nsh,,,,,,,,
10/10/2024,cbj,min,,,,,,,,
10/10/2024,stl,sj,,,,,,,,
10/11/2024,tb,car,,,,,,,,
10/11/2024,chi,wpg,,,,,,,,
10/11/2024,phi,van,,,,,,,,
10/11/2024,stl,vgk,,,,,,,,
10/12/2024,la,bos,,,,,,,,
10/12/2024,fla,buf,,,,,,,,
10/12/2024,pit,tor,,,,,,,,
10/12/2024,ott,mtl,,,,,,,,
10/12/2024,nsh,det,,,,,,,,
10/12/2024,ari,nyr,,,,,,,,
10/12/2024,nj,wsh,,,,,,,,
10/12/2024,nyi,dal,,,,,,,,
10/12/2024,sea,min,,,,,,,,
10/12/2024,cbj,col,,,,,,,,
10/12/2024,phi,cgy,,,,,,,,
10/12/2024,chi,edm,,,,,,,,
10/12/2024,ana,sj,,,,,,,,
10/13/2024,min,wpg,,,,,,,,
10/13/2024,sea,dal,,,,,,,,
10/13/2024,cgy,edm,,,,,,,,
10/13/2024,ana,vgk,,,,,,,,
10/14/2024,fla,bos,,,,,,,,
10/14/2024,la,ott,,,,,,,,
10/14/2024,ari,nj,,,,,,,,
10/14/2024,det,nyr,,,,,,,,
10/14/2024,pit,mtl,,,,,,,,
10/14/2024,nyi,col,,,,,,,,
10/15/2024,van,tb,,,,,,,,
10/15/2024,vgk,wsh,,,,,,,,
10/15/2024,nj,car,,,,,,,,
10/15/2024,fla,cbj,,,,,,,,
10/15/2024,min,stl,,,,,,,,
10/15/2024,sea,nsh,,,,,,,,
10/15/2024,sj,dal,,,,,,,,
10/15/2024,chi,cgy,,,,,,,,
10/15/2024,phi,edm,,,,,,,,
10/16/2024,buf,pit,,,,,,,,
10/16/2024,la,tor,,,,,,,,
10/16/2024,bos,col,,,,,,,,
10/16/2024,ari,ana,,,,,,,,
10/17/2024,la,mtl,,,,,,,,
10/17/2024,nj,ott,,,,,,,,
10/17/2024,nyr,det,,,,,,,,
10/17/2024,vgk,tb,,,,,,,,
10/17/2024,van,fla,,,,,,,,
10/17/2024,dal,wsh,,,,,,,,
10/17/2024,buf,cbj,,,,,,,,
10/17/2024,nyi,stl,,,,,,,,
10/17/2024,edm,nsh,,,,,,,,
10/17/2024,sj,chi,,,,,,,,
10/17/2024,phi,sea,,,,,,,,
10/18/2024,car,pit,,,,,,,,
10/18/2024,sj,wpg,,,,,,,,
10/18/2024,ana,col,,,,,,,,
10/19/2024,tb,ott,,,,,,,,
10/19/2024,det,nsh,,,,,,,,
10/19/2024,edm,dal,,,,,,,,
10/19/2024,vgk,fla,,,,,,,,
10/19/2024,nyr,tor,,,,,,,,
10/19/2024,wsh,nj,,,,,,,,
10/19/2024,mtl,nyi,,,,,,,,
10/19/2024,van,phi,,,,,,,,
10/19/2024,min,cbj,,,,,,,,
10/19/2024,car,stl,,,,,,,,
10/19/2024,buf,chi,,,,,,,,
10/19/2024,bos,ari,,,,,,,,
10/19/2024,cgy,sea,,,,,,,,
10/20/2024,pit,wpg,,,,,,,,
10/20/2024,col,sj,,,,,,,,
10/20/2024,la,ana,,,,,,,,
10/21/2024,tb,tor,,,,,,,,
10/22/2024,wsh,phi,,,,,,,,
10/22/2024,min,fla,,,,,,,,
10/22/2024,tb,nj,,,,,,,,
10/22/2024,dal,buf,,,,,,,,
10/22/2024,nyr,mtl,,,,,,,,
10/22/2024,tor,cbj,,,,,,,,
10/22/2024,det,nyi,,,,,,,,
10/22/2024,wpg,stl,,,,,,,,
10/22/2024,van,chi,,,,,,,,
10/22/2024,bos,nsh,,,,,,,,
10/22/2024,pit,cgy,,,,,,,,
10/22/2024,car,edm,,,,,,,,
10/22/2024,ott,ari,,,,,,,,
10/22/2024,sj,ana,,,,,,,,
10/22/2024,col,sea,,,,,,,,
10/22/2024,la,vgk,,,,,,,,
10/23/2024,phi,wsh,,,,,,,,
10/24/2024,dal,bos,,,,,,,,
10/24/2024,stl,tor,,,,,,,,
10/24/2024,nj,det,,,,,,,,
10/24/2024,min,tb,,,,,,,,
10/24/2024,fla,nyr,,,,,,,,
10/24/2024,car,cgy,,,,,,,,
10/24/2024,col,ari,,,,,,,,
10/24/2024,wpg,sea,,,,,,,,
10/24/2024,sj,la,,,,,,,,
10/25/2024,ott,vgk,,,,,,,,
10/25/2024,nyi,nj,,,,,,,,
10/25/2024,nsh,chi,,,,,,,,
10/25/2024,pit,edm,,,,,,,,
10/26/2024,det,buf,,,,,,,,
10/26/2024,min,phi,,,,,,,,
10/26/2024,ari,la,,,,,,,,
10/26/2024,tor,bos,,,,,,,,
10/26/2024,stl,mtl,,,,,,,,
10/26/2024,wsh,tb,,,,,,,,
10/26/2024,ana,nyr,,,,,,,,
10/26/2024,wpg,cgy,,,,,,,,
10/26/2024,fla,nyi,,,,,,,,
10/26/2024,cbj,nsh,,,,,,,,
10/26/2024,chi,dal,,,,,,,,
10/26/2024,pit,van,,,,,,,,
10/26/2024,sj,vgk,,,,,,,,
10/26/2024,car,sea,,,,,,,,
10/27/2024,edm,det,,,,,,,,
10/27/2024,ana,nj,,,,,,,,
10/27/2024,mtl,phi,,,,,,,,
10/27/2024,ott,col,,,,,,,,
10/28/2024,fla,buf,,,,,,,,
10/28/2024,nsh,tb,,,,,,,,
10/28/2024,edm,cbj,,,,,,,,
10/28/2024,tor,wpg,,,,,,,,
10/28/2024,chi,col,,,,,,,,
10/28/2024,sj,ari,,,,,,,,
10/28/2024,car,van,,,,,,,,
10/28/2024,cgy,vgk,,,,,,,,
10/29/2024,phi,bos,,,,,,,,
10/29/2024,sea,mtl,,,,,,,,
10/29/2024,stl,ott,,,,,,,,
10/29/2024,nyr,wsh,,,,,,,,
10/29/2024,ana,nyi,,,,,,,,
10/29/2024,min,pit,,,,,,,,
10/29/2024,la,sj,,,,,,,,
10/30/2024,nyi,cbj,,,,,,,,
10/30/2024,wpg,det,,,,,,,,
10/30/2024,tb,col,,,,,,,,
10/30/2024,cgy,ari,,,,,,,,
10/30/2024,nj,van,,,,,,,,
10/30/2024,vgk,la,,,,,,,,
10/31/2024,sea,tor,,,,,,,,
10/31/2024,stl,phi,,,,,,,,
10/31/2024,ana,pit,,,,,,,,
10/31/2024,mtl,wsh,,,,,,,,
10/31/2024,bos,car,,,,,,,,
10/31/2024,edm,nsh,,,,,,,,
10/31/2024,chi,sj,,,,,,,,
11/1/2024,nyi,buf,,,,,,,,
11/1/2024,ott,nyr,,,,,,,,
11/1/2024,wpg,cbj,,,,,,,,
11/1/2024,tb,min,,,,,,,,
11/1/2024,fla,dal,,,,,,,,
11/1/2024,nj,cgy,,,,,,,,
11/2/2024,bos,phi,,,,,,,,
11/2/2024,dal,fla,,,,,,,,
11/2/2024,cbj,wsh,,,,,,,,
11/2/2024,chi,la,,,,,,,,
11/2/2024,sea,ott,,,,,,,,
11/2/2024,buf,det,,,,,,,,
11/2/2024,mtl,pit,,,,,,,,
11/2/2024,tor,stl,,,,,,,,
11/2/2024,col,nsh,,,,,,,,
11/2/2024,ari,vgk,,,,,,,,
